Organization,brand,brand
CreativeWork,copyrightHolder,copyrightHolder
CreativeWork,countryOfOrigin,countryOfOrigin
Place,material,material
CreativeWork,productionCompany,productionCompany
Place,servesCuisine,servesCuisine
CreativeWork,composer,composer
Organization,duns,duns
CreativeWork,numberOfEpisodes,numberOfEpisodes
CreativeWork,inLanguage,inLanguage
Person,spouse,spouse
Event,sport,sport
Event,superEvent,superEvent
CreativeWork,about,about
Person,deathDate,deathDate
CreativeWork,exampleOfWork,exampleOfWork
Place,width,width
CreativeWork,duration,duration
Organization,foundingDate,foundingDate
CreativeWork,translator,translator
Place,broadcastChannelId,broadcastChannelId
CreativeWork,dateCreated,dateCreated
Place,alternateName,alternateName
Place,award,award
Person,callSign,callSign
CreativeWork,editor,editor
Organization,sponsor,sponsor
Person,Children,Children
Person,gender,gender
CreativeWork,character,character
Place,elevation,elevation
Organization,foundingLocation,foundingLocation
Person,alumniOf,alumniOf
CreativeWork,director,director
Organization,icaoCode,icaoCode
CreativeWork,license,license
Organization,logo,logo
CreativeWork,numberOfSeasons,numberOfSeasons
Place,containsPlace,containsPlace
CreativeWork,contentLocation,contentLocation
CreativeWork,contributor,contributor
Person,familyName,familyName
Place,geo,geo
Organization,iataCode,iataCode
Event,url,url
Event,competitor,competitor
CreativeWork,iswcCode,iswcCode
Event,organizer,organizer
Event,startDate,startDate
Organization,subOrganization,subOrganization
Place,telephone,telephone
CreativeWork,isbn,isbn
CreativeWork,producer,producer
CreativeWork,actor,actor
Person,givenName,givenName
Person,birthPlace,birthPlace
Person,homeLocation,homeLocation
CreativeWork,creator,creator
Person,deathPlace,deathPlace
Organization,dissolutionDate,dissolutionDate
CreativeWork,isBasedOn,isBasedOn
Organization,leiCode,leiCode
Person,owns,owns
CreativeWork,citation,citation
CreativeWork,lyricist,lyricist
CreativeWork,provider,provider
CreativeWork,isPartOf,isPartOf
CreativeWork,musicBy,musicBy
Person,worksFor,worksFor
Place,image,image
CreativeWork,hasPart,hasPart
CreativeWork,publisher,publisher
Place,containedInPlace,containedInPlace
Person,knowsLanguage,knowsLanguage
CreativeWork,locationCreated,locationCreated
Person,memberOf,memberOf
Person,netWorth,netWorth
CreativeWork,partOfSeries,partOfSeries
CreativeWork,author,author
Place,sameAs,sameAs
Person,nationality,nationality
Person,hasOccupation,hasOccupation
Person,honorificPrefix,honorificPrefix
Event,location,location
Person,birthDate,birthDate
CreativeWork,datePublished,datePublished
Organization,founder,founder
Person,affiliation,affiliation
Event,endDate,endDate
Person,height,height
CreativeWork,numberOfPages,numberOfPages
Organization,parentOrganization,parentOrganization
Person,weight,weight
CreativeWork,workExample,workExample
CreativeWork,byArtist,byArtist
Place,faxNumber,faxNumber
Person,parent,parent
Place,numberOfEmployees,numberOfEmployees
Event,subEvent,subEvent